"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"Lincoln County","MT",,1415,1131,-0.0171,-0.0413,0.0231,9484
2020-01-31,"Paulding County","OH",,1416,906,0.0276,0.0391,0.0889,6984
2020-01-31,"Tishomingo County","MS",,1417,946,0.0089,-0.0079,-0.0316,8111
2020-01-31,"Covington County","MS",,1418,909,-0.0006,-0.0058,-0.0059,4831
2020-01-31,"Attala County","MS",,1419,916,0.0056,0.0442,0.0183,5880
2020-01-31,"Perry County","IN",,1420,904,-0.0241,-0.0085,0.0595,6917
2020-01-31,"Llano County","TX",,1421,1373,-0.0211,0.0256,-0.0141,11538
2020-01-31,"Berrien County","GA",,1422,1002,0.0106,-0.0007,0.0064,5242
2020-01-31,"Lavaca County","TX",,1423,1297,0.0033,-0.0243,-0.0134,6161
2020-01-31,"Madison County","FL",,1424,1253,-0.01,-0.0037,0.0466,5147
2020-01-31,"Smith County","TN","Nashville-Davidson--Murfreesboro--Franklin",1425,1008,-0.0118,-0.0173,-0.0163,7131
2020-01-31,"Waseca County","MN",,1426,1240,0.0092,0.0266,0.0248,6483
2020-01-31,"Jefferson County","KS","Topeka",1427,915,-0.0202,-0.039,-0.0595,7810
2020-01-31,"Union County","TN","Knoxville",1428,1008,-0.0096,-0.033,0.0208,6356
2020-01-31,"Benton County","MO",,1429,752,-0.0059,0.018,0.0283,9416
2020-01-31,"Green Lake County","WI",,1430,984,-0.0063,-0.0236,-0.0007,1285
2020-01-31,"Perry County","MO",,1431,869,0.0043,0.022,0.0389,7477
2020-01-31,"New Madrid County","MO",,1432,786,0.0263,0.0238,0.0037,6994
2020-01-31,"Poweshiek County","IA",,1433,931,0.0057,0.0133,-0.0328,8080
2020-01-31,"Otero County","CO",,1434,1435,0.0178,0.0398,0.1414,7979
2020-01-31,"Haywood County","TN","Brownsville",1435,929,0.0161,0.017,0.0679,6368
2020-01-31,"Pierce County","GA","Waycross",1436,1049,-0.0197,0.0141,0.0383,4849
2020-01-31,"Adams County","WA","Othello",1437,1302,-0.0225,-0.0316,0.0038,3345
2020-01-31,"Dekalb County","TN",,1438,993,-0.0248,-0.0467,-0.0123,8554
2020-01-31,"Adair County","KY",,1439,876,0.01,0.0073,-0.0002,4451
2020-01-31,"Eastland County","TX",,1440,1184,0.0052,0.0004,0.0066,7000
2020-01-31,"Southampton County","VA",,1441,1256,-0.0061,-0.0185,0.0144,7069
2020-01-31,"Young County","TX",,1442,1140,-0.0243,-0.0186,-0.0017,6744
2020-01-31,"Inyo County","CA",,1443,2007,0.0276,0.0193,0.0501,9480
2020-01-31,"Humphreys County","TN",,1444,992,0.0234,0.0525,0.0692,6766
2020-01-31,"Pike County","MO",,1445,821,0.0251,0.0053,-0.0243,6725
2020-01-31,"Drew County","AR",,1446,799,0.0275,0.0144,0.0275,5316
2020-01-31,"Cedar County","IA",,1447,996,0.0015,0.0064,-0.0156,7327
2020-01-31,"Patrick County","VA",,1448,1062,0.0091,-0.0606,-0.0309,1108
2020-01-31,"New Kent County","VA","Richmond",1449,1430,-0.0032,-0.0096,0.0245,10749
2020-01-31,"Brantley County","GA","Brunswick",1450,1030,0.0149,0.0183,0.0174,5320
2020-01-31,"Greene County","VA","Charlottesville",1451,1476,0.0092,-0.0003,0.0457,7738
2020-01-31,"Banks County","GA",,1452,1328,0.0064,0.029,0.0677,5397
2020-01-31,"Schuyler County","NY",,1453,1446,-0.0266,-0.0573,0.0116,7489
