fips,Median Home Value,decile
8041.0,254300.0,10
8043.0,163300.0,8
8045.0,337900.0,10
8047.0,337400.0,10
8049.0,295800.0,10
8051.0,339400.0,10
8053.0,331100.0,10
8055.0,157200.0,7
8057.0,195400.0,9
8059.0,366800.0,10
8061.0,80100.0,2
8063.0,140800.0,7
8065.0,214000.0,9
8067.0,375400.0,10
8069.0,336200.0,10
8071.0,147100.0,7
8073.0,135700.0,6
8075.0,154500.0,7
8077.0,214400.0,9
8079.0,293600.0,10
8081.0,170700.0,8
8083.0,208300.0,9
8085.0,212900.0,9
8087.0,183900.0,9
8089.0,91900.0,3
8091.0,419900.0,10
8093.0,284800.0,10
8095.0,155500.0,7
8097.0,623400.0,10
8099.0,94100.0,3
8101.0,155400.0,7
8103.0,203100.0,9
8105.0,161300.0,8
8107.0,510600.0,10
8109.0,149500.0,7
8111.0,286700.0,10
8113.0,491100.0,10
8115.0,87300.0,2
8117.0,563000.0,10
8119.0,279100.0,10
8121.0,138700.0,7
8123.0,269400.0,10
8125.0,171600.0,8
9001.0,422300.0,10
9003.0,237700.0,9
9005.0,251500.0,10
9007.0,284900.0,10
9009.0,246700.0,10
9011.0,239000.0,10
9013.0,251300.0,10
9015.0,198000.0,9
10001.0,213900.0,9
10003.0,254500.0,10
10005.0,248900.0,10
11001.0,568400.0,10
12001.0,173900.0,8
12003.0,120900.0,5
12005.0,172600.0,8
12007.0,97200.0,3
12009.0,177400.0,8
12011.0,243100.0,10
12013.0,81300.0,2
12015.0,176500.0,8
12017.0,123800.0,6
12019.0,174400.0,8
12021.0,340100.0,10
12023.0,117800.0,5
12027.0,84400.0,2
12029.0,74500.0,1
12031.0,166900.0,8
12033.0,133600.0,6
12035.0,200000.0,9
12037.0,139500.0,7
12039.0,99000.0,4
12041.0,97800.0,3
12043.0,76400.0,1
12045.0,150300.0,7
12047.0,71100.0,1
12049.0,81800.0,2
12051.0,82000.0,2
12053.0,130300.0,6
12055.0,93800.0,3
12057.0,198000.0,9
12059.0,93200.0,3
12061.0,185800.0,9
12063.0,98800.0,4
12065.0,117900.0,5
12067.0,105900.0,4
12069.0,167200.0,8
12071.0,207700.0,9
12073.0,195000.0,9
12075.0,99400.0,4
12077.0,66600.0,1
12079.0,87400.0,2
12081.0,218900.0,9
12083.0,127100.0,6
12085.0,255000.0,10
12086.0,268200.0,10
12087.0,468200.0,10
12089.0,218100.0,9
12091.0,207600.0,9
12093.0,89800.0,3
12095.0,216000.0,9
12097.0,179800.0,8
12099.0,264400.0,10
12101.0,149000.0,7
12103.0,183000.0,9
12105.0,135400.0,6
12107.0,84500.0,2
12109.0,287700.0,10
12111.0,165700.0,8
12113.0,184400.0,9
12115.0,234800.0,9
12117.0,224000.0,9
12119.0,246500.0,10
12121.0,95200.0,3
12123.0,82900.0,2
12125.0,104400.0,4
12127.0,164200.0,8
12129.0,144700.0,7
12131.0,222700.0,9
12133.0,109800.0,4
13001.0,75900.0,1
13003.0,60100.0,1
13005.0,73000.0,1
13007.0,75500.0,1
13009.0,112500.0,5
13011.0,142800.0,7
13013.0,146500.0,7
13015.0,151700.0,7
13017.0,80100.0,2
13019.0,85300.0,2
13021.0,116500.0,5
13023.0,97900.0,3
13025.0,68200.0,1
13027.0,96900.0,3
13029.0,211800.0,9
13031.0,135200.0,6
13033.0,87900.0,2
13035.0,121800.0,6
13037.0,49000.0,1
13039.0,159800.0,8
13043.0,91200.0,3
13045.0,130200.0,6
13047.0,140000.0,7
13049.0,82600.0,2
13051.0,184900.0,9
13053.0,69000.0,1
13055.0,69600.0,1
13057.0,234300.0,9
13059.0,163700.0,8
13061.0,65900.0,1
13063.0,97800.0,3
13065.0,57100.0,1
13067.0,237800.0,10
13069.0,92600.0,3
13071.0,83200.0,2
13073.0,192200.0,9
13075.0,88100.0,2
13077.0,201500.0,9
13079.0,92900.0,3
13081.0,85200.0,2
13083.0,126700.0,6
13085.0,215500.0,9
13087.0,109700.0,4
13089.0,192400.0,9
13091.0,75800.0,1
13093.0,83700.0,2
13095.0,103900.0,4
13097.0,153100.0,7
13099.0,81700.0,2
13101.0,58900.0,1
13103.0,159100.0,8
13105.0,80600.0,2
13107.0,74100.0,1
13109.0,86200.0,2
13111.0,185600.0,9
13113.0,269900.0,10
13115.0,129600.0,6
13117.0,321000.0,10
13119.0,106200.0,4
13121.0,290400.0,10
13123.0,171000.0,8
13125.0,63800.0,1
13127.0,168700.0,8
13129.0,127400.0,6
13131.0,112500.0,5
13133.0,207700.0,9
13135.0,200400.0,9
13137.0,146000.0,7
13139.0,183200.0,9
13141.0,79800.0,2
13143.0,116900.0,5
13145.0,210100.0,9
13147.0,126900.0,6
13149.0,96900.0,3
13151.0,165900.0,8
13153.0,138600.0,7
13155.0,74300.0,1
13157.0,174000.0,8
13159.0,122300.0,6
13161.0,76500.0,1
13163.0,74300.0,1
13165.0,66500.0,1
13167.0,66700.0,1
13169.0,123400.0,6
13171.0,134500.0,6
13173.0,105000.0,4
13175.0,88800.0,3
13177.0,153000.0,7
13179.0,121500.0,6
13181.0,117500.0,5
13183.0,116700.0,5
13185.0,135100.0,6
13187.0,181600.0,9
13189.0,105300.0,4
13191.0,120300.0,5
13193.0,63700.0,1
13195.0,126800.0,6
13197.0,89500.0,3
13199.0,98000.0,3
13201.0,93300.0,3
13205.0,86200.0,2
13207.0,163800.0,8
13209.0,79400.0,2
13211.0,224800.0,9
13213.0,100200.0,4
13215.0,141700.0,7
13217.0,139900.0,7
13219.0,268100.0,10
13221.0,117000.0,5
13223.0,161400.0,8
13225.0,128600.0,6
13227.0,185700.0,9
13229.0,98800.0,4
13231.0,165800.0,8
13233.0,105400.0,4
13235.0,113500.0,5
13237.0,165300.0,8
13239.0,65900.0,1
13241.0,164900.0,8
13243.0,77300.0,1
13245.0,104700.0,4
13247.0,157100.0,7
13249.0,111600.0,5
13251.0,77000.0,1
13253.0,89500.0,3
13255.0,122300.0,6
13257.0,94300.0,3
13259.0,50900.0,1
13261.0,90300.0,3
13263.0,80000.0,2
13265.0,67100.0,1
13267.0,88500.0,2
13269.0,82700.0,2
13271.0,64000.0,1
13273.0,103300.0,4
13275.0,133800.0,6
13277.0,118900.0,5
13279.0,95500.0,3
13281.0,205600.0,9
13283.0,70900.0,1
13285.0,129200.0,6
13287.0,74000.0,1
13289.0,63200.0,1
13291.0,197200.0,9
13293.0,87200.0,2
13295.0,114000.0,5
13297.0,175500.0,8
13299.0,82000.0,2
13301.0,61300.0,1
13303.0,83300.0,2
13305.0,107900.0,4
13307.0,60800.0,1
13309.0,63300.0,1
13311.0,166100.0,8
13313.0,126900.0,6
13315.0,68200.0,1
13317.0,81200.0,2
13319.0,70300.0,1
13321.0,85600.0,2
15001.0,333600.0,10
15003.0,649800.0,10
15005.0,-666666666.0,1
15007.0,546000.0,10
15009.0,599500.0,10
16001.0,242300.0,10
16003.0,173100.0,8
16005.0,152500.0,7
16007.0,147600.0,7
16009.0,154000.0,7
16011.0,152600.0,7
16013.0,395800.0,10
16015.0,199300.0,9
16017.0,233900.0,9
16019.0,168100.0,8
16021.0,179100.0,8
16023.0,117600.0,5
16025.0,174200.0,8
16027.0,159600.0,8
16029.0,137200.0,6
16031.0,151800.0,7
16033.0,92900.0,3
16035.0,142300.0,7
16037.0,177300.0,8
16039.0,145600.0,7
16041.0,198000.0,9
16043.0,162400.0,8
16045.0,159300.0,8
16047.0,143600.0,7
16049.0,166100.0,8
16051.0,184100.0,9
16053.0,154600.0,7
16055.0,237400.0,9
16057.0,213600.0,9
16059.0,171000.0,8
16061.0,123000.0,6
16063.0,137000.0,6
16065.0,207500.0,9
16067.0,136800.0,6
16069.0,181200.0,8
16071.0,155800.0,7
16073.0,130300.0,6
16075.0,148400.0,7
16077.0,139800.0,7
16079.0,124600.0,6
16081.0,317700.0,10
16083.0,160200.0,8
16085.0,283000.0,10
16087.0,152200.0,7
17001.0,126100.0,6
17003.0,53500.0,1
17005.0,122500.0,6
17007.0,152600.0,7
17009.0,89600.0,3
17011.0,109700.0,4
17013.0,114300.0,5
17015.0,101600.0,4
17017.0,78100.0,1
17019.0,157800.0,8
17021.0,90000.0,3
17023.0,87800.0,2
17025.0,81700.0,2
17027.0,148100.0,7
17029.0,97600.0,3
17031.0,237200.0,9
17033.0,87000.0,2
17035.0,100700.0,4
17037.0,169800.0,8
17039.0,100900.0,4
17041.0,106500.0,4
17043.0,299000.0,10
17045.0,80100.0,2
17047.0,76500.0,1
17049.0,140300.0,7
17051.0,84700.0,2
17053.0,98400.0,4
17055.0,74500.0,1
17057.0,86700.0,2
17059.0,75300.0,1
17061.0,77400.0,1
17063.0,191300.0,9
17065.0,98100.0,3
17067.0,86700.0,2
17069.0,71500.0,1
17071.0,91300.0,3
17073.0,118800.0,5
17075.0,99500.0,4
17077.0,106400.0,4
17079.0,99400.0,4
17081.0,94400.0,3
17083.0,144800.0,7
17085.0,144600.0,7
17087.0,99400.0,4
17089.0,232000.0,9
17091.0,144200.0,7
17093.0,224200.0,9
17095.0,83100.0,2
17097.0,259900.0,10
17099.0,126000.0,6
17101.0,73800.0,1
17103.0,117600.0,5
17105.0,109700.0,4
17107.0,102900.0,4
17109.0,94200.0,3
17111.0,219600.0,9
17113.0,166700.0,8
17115.0,96800.0,3
17117.0,99600.0,4
17119.0,132300.0,6
17121.0,74900.0,1
17123.0,104800.0,4
17125.0,79600.0,2
17127.0,83700.0,2
17129.0,137400.0,7
17131.0,106000.0,4
17133.0,209100.0,9
17135.0,82200.0,2
17137.0,104800.0,4
17139.0,109000.0,4
17141.0,143100.0,7
17143.0,129900.0,6
17145.0,85400.0,2
17147.0,130300.0,6
17149.0,78800.0,2
17151.0,87200.0,2
17153.0,63600.0,1
17155.0,124500.0,6
17157.0,104700.0,4
17159.0,87700.0,2
17161.0,117000.0,5
17163.0,124700.0,6
17165.0,73100.0,1
17167.0,138100.0,7
17169.0,85900.0,2
17171.0,85000.0,2
17173.0,90100.0,3
17175.0,85400.0,2
17177.0,97000.0,3
17179.0,139700.0,7
17181.0,101500.0,4
17183.0,78900.0,2
17185.0,80500.0,2
17187.0,84300.0,2
17189.0,109400.0,4
17191.0,82000.0,2
17193.0,69700.0,1
17195.0,103400.0,4
17197.0,224800.0,9
17199.0,111800.0,5
17201.0,117000.0,5
17203.0,162700.0,8
18001.0,122400.0,6
18003.0,123800.0,6
18005.0,143800.0,7
18007.0,87900.0,2
18009.0,71300.0,1
18011.0,222500.0,9
18013.0,186000.0,9
18015.0,131600.0,6
18017.0,85500.0,2
18019.0,137800.0,7
18021.0,102000.0,4
18023.0,104000.0,4
18025.0,89700.0,3
18027.0,121500.0,6
18029.0,165400.0,8
18031.0,124700.0,6
18033.0,118100.0,5
18035.0,90900.0,3
18037.0,149500.0,7
18039.0,137900.0,7
18041.0,82400.0,2
18043.0,165700.0,8
18045.0,94900.0,3
18047.0,151900.0,7
18049.0,97200.0,3
18051.0,110300.0,5
18053.0,89500.0,3
18055.0,95600.0,3
18057.0,249400.0,10
18059.0,165200.0,8
18061.0,143500.0,7
18063.0,179600.0,8
18065.0,96200.0,3
18067.0,106300.0,4
18069.0,105000.0,4
18071.0,116700.0,5
18073.0,158300.0,8
18075.0,85400.0,2
18077.0,123700.0,6
18079.0,103900.0,4
18081.0,158200.0,8
18083.0,88700.0,2
18085.0,146000.0,7
18087.0,179200.0,8
18089.0,143500.0,7
18091.0,127700.0,6
18093.0,115700.0,5
18095.0,93700.0,3
18097.0,129200.0,6
18099.0,134500.0,6
18101.0,111100.0,5
18103.0,87200.0,2
18105.0,167900.0,8
18107.0,120500.0,5
18109.0,154300.0,7
18111.0,115300.0,5
18113.0,118100.0,5
18115.0,148100.0,7
18117.0,92200.0,3
18119.0,113500.0,5
18121.0,91300.0,3
18123.0,108800.0,4
18125.0,96700.0,3
18127.0,178100.0,8
18129.0,141000.0,7
18131.0,98700.0,4
18133.0,121300.0,6
18135.0,79600.0,2
18137.0,149800.0,7
18139.0,104300.0,4
18141.0,123900.0,6
18143.0,99600.0,4
18145.0,130100.0,6
18147.0,121000.0,5
18149.0,108000.0,4
18151.0,140600.0,7
18153.0,85500.0,2
18155.0,110800.0,5
18157.0,148800.0,7
18159.0,106200.0,4
18161.0,112100.0,5
18163.0,126400.0,6
